s_no,sat_Name,Discipline,Launch_mass,Launch_date,Launch_vehicle,Launch_site,Periapsis_km,Apoapsis_km,Period_in_minutes,Success
95,ResourceSat-2A,Earth Sciences,1235.0,2016-12-07,PSLV-C36,Satish Dhawan Space Centre Sriharikota,826.3,827.6,101.3,Pass
96,CartoSat-2D,Earth Sciences,714.0,2017-02-15,PSLV-C37,Satish Dhawan Space Centre Sriharikota,510.9,519.9,94.8,Pass
97,INS-1A,Technology Applications,8.4,2017-02-15,PSLV-C37,Satish Dhawan Space Centre Sriharikota,510.9,519.9,94.8,Pass
98,INS-1B,Technology Applications,9.7,2017-02-15,PSLV-C37,Satish Dhawan Space Centre Sriharikota,500.7,514.8,94.6,Pass
99,GSAT-9,Communications,2230.0,2017-05-05,GSLV Mk.II,Satish Dhawan Space Centre Sriharikota,35782.2,35805.8,1436.1,Pass
100,GSAT-19E,Communications,3136.0,2017-06-05,GSLV Mk.III-D1,Satish Dhawan Space Centre Sriharikota,35781.1,35806.7,1436.1,Pass
101,NIUSat,Technology Applications,15.0,2017-06-23,PSLV-C38,Satish Dhawan Space Centre Sriharikota,502.5,526.7,94.8,pass
102,CartoSat-2E,Earth Sciences,712.0,2017-06-23,PSLV-C38,Satish Dhawan Space Centre Sriharikota,508.4,522.2,94.8,Pass
103,GSAT-17,Communications,3477.0,2017-06-29,Ariane-5 ECA,Centre Spatial Guyanais Kourou,35771.0,35817.0,1436.1,Pass
104,IRNSS-1H,Navigation/Global Positioning,1425.0,2017-09-02,PSLV-C39,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
105,CartoSat-2F,Earth Sciences,710.0,2018-01-12,PSLV-C40,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
106,MicroSat-TD,Technology Applications,132.0,2018-01-12,PSLV-C40,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
107,INS-1C,Technology Applications,11.0,2018-01-12,PSLV-C40,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
108,GSAT-6A,Communications,2117.0,2018-03-29, GSLV-F08,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
109,IRNSS-1I,Navigation/Global Positioning,1425.0,2018-04-12,PSLV-C41,Satish Dhawan Space Centre Sriharikota,0.0,0.0,1450.9,Pass
110,GSAT-29,High-throughput Communication Satellite,3423.0,2018-11-01,GSLV Mk III D2,Satish Dhawan Space Centre Sriharikota,0.0,0.0,780.0,Pass
111,HySIS,Hyperspectral imaging satellite,380.0,2018-11-29,PSLV-C43,Satish Dhawan Space Centre Sriharikota,633.3,648.1,97.5,Pass
112,ExseedSat-1,Communications technology demonstrator,1.0,2018-12-03,SpaceX Falcon 9,Vandenberg Air Force Base California,0.0,0.0,0.0,Pass
113,GSAT-11,Communications satellite,5854.0,2018-12-05,Ariane 5-VA246,Centre Spatial Guyanais Kourou,35767.8,35820.1,1436.1,Pass
114,GSAT-7A,Military satellite,2250.0,2018-12-19,GSLV Mk.II-F11,Satish Dhawan Space Centre Sriharikota,35786.6,35799.4,1436.1,Pass
115,Microsat-R,Earth imaging for defense applications,741.2,2019-01-23,PSLV-C44,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
116,PS4-KalamSAT-V2,Student satellite,1.26,2019-01-23,PSLV-C44,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
117,GSAT-31,High-throughput Telecommunication Satellite,2536.0,2019-02-06,Ariane 5-VCA,Centre Spatial Guyanais Kourou,35775.7,35812.3,1436.1,Pass
118,EMISAT,Reconnaissance of electromagnetic spectrum,436.0,2019-04-01,PSLV-C45,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
119,PS4-Advanced,Radio Ionospheric studies Maritime Satellite,0.0,2019-04-01,PSLV-C45,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
120,RISAT-2B,Disaster management Radar imaging,615.0,2019-05-22,PSLV-CA C46,Satish Dhawan Space Centre Sriharikota,558.4,563.5,95.7,Pass
121,Chandrayaan-2,Lunar Exploration,3850.0,2019-07-22,GSLV Mk III M01,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
122,Cartosat-3,Earth observation,1625.0,2019-11-27,PSLV-XL C47,Satish Dhawan Space Centre Sriharikota,507.2,526.6,94.8,Pass
123,RISAT-2BR1,Radar imaging,628.0,2019-12-11,PSLV-QL C48,Satish Dhawan Space Centre Sriharikota,576.0,576.0,0.0,Pass
124,GSAT-30,Communications,3357.0,2020-01-16,Ariane 5 ECA VA-251,French Guiana Centre Spatial Guyanais Kourou,35779.1,35808.5,1436.1,Pass
125,EOS-01,Earth observation,630.0,2020-11-07,PSLV-DL C49,Satish Dhawan Space Centre Sriharikota,576.1,582.9,96.1,Pass
126,CMS-01,Communications,1425.0,2020-12-17,PSLV-XL C50,Satish Dhawan Space Centre Sriharikota,35764.9,35823.1,1436.1,Pass
127,Sindhu Netra,Earth observation,0.0,2021-02-28,PSLV-DL C51,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
128,SDSat,Studying space radiations magnetosphere,0.0,2021-02-28,PSLV-DL C51,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
129,JITSat,Student satellite,0.0,2021-02-28,PSLV-DL C51, Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
130,GHRCESat,Student satellite,0.0,2021-02-28,PSLV-DL C51,India Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
131,Sri Shakthi Sat,Student satellite,0.0,2021-02-28,PSLV-DL C51,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
132,EOS-03-GISAT-1,Earth observation,2268.0,2021-08-12,GSLV Mk II F10,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
133,EOS-04-RISAT-1A,Earth observation,1710.0,2022-02-14,PSLV-XL C52,Satish Dhawan Space Centre Sriharikota,526.7,543.5,95.2,Pass
134,INSPIRESAT-1,Student cubesa,8.7,2022-02-14,PSLV-XL C52, Satish Dhawan Space Centre Sriharikota,526.1,541.8,95.2,Pass
135,INS-2TD,Experimental,17.5,2022-02-14,PSLV-XL C52, Satish Dhawan Space Centre Sriharikota,525.8,540.9,95.2,Pass
136,CMS-02-GSAT-24,Communications,4181.3,2022-06-22,Ariane 5 ECA VA-257,Centre Spatial Guyanais Kourou,35651.2,35777.4,1432.0,Pass
137,PS4-POEM,Experimental,0.0,2022-06-30,PSLV-XL C53,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Pass
138,EOS 02,Earth observation,135.0,2022-08-07,SSLV-D1, Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
139,AzaadiSAT,Student satellite-Earth observation,8.0,2022-08-07,SSLV-D1,Satish Dhawan Space Centre Sriharikota,0.0,0.0,0.0,Fail
